Program,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Aboriginal And Torres Strait Islander Phd Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2018-19 Round 4,Central Queensland University,Norman Gardens,4701.0,, BHP Billiton,Decolonising The Systematic Barriers And Enablers Of Indigenous Career Progression In Miningco (Bhp). An Aboriginal Perspective - Terry Bell,Brisbane City,4001.0,,14/06/2019,Rockhampton (R),Brisbane And Redlands,Keppel,107084.0
Aboriginal And Torres Strait Islander Phd Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2015-16 Round 1,Griffith University,Nathan,4111.0,,nan,An Indigenous Journey Through The 21St Century Educational Landscapes Of New Metrics - Troy Meston,Nathan,4111.0,,28/01/2016,Brisbane (C),Brisbane And Redlands,Toohey,117500.0
Aboriginal And Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2017-18 Round 3,Queensland University Of Technology,Brisbane City,4000.0,, Engineered Wood Products Association Australasia Ltd,An Innovative Framing System For Taller Timber-Framed Buildings  Craig Cowled,Brisbane City,4000.0,,21/08/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,240000.0
Aboriginal And Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2015-16 Round 1,Csiro,Smithfield,4878.0,, CSIRO,Transforming Hidden Data: An Integrative Information System For Torres Strait - Cass Hunter,Smithfield,4878.0,,28/01/2016,Cairns (R),Far North Queensland,Barron River,158032.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Redland City Council,Cleveland,4163.0,," Community Information Support Services Ltd 
 Logan City Council 
 Redland City Chamber Of Commerce Inc 
 Global Community Resourcing Pty Ltd 
 Social Enterprise Network Logan Limited 
 TAFE Queensland Brisbane 
 Griffith University - Logan Campus - Master 
 YFS Ltd",Growing Innovation In The Redlands And Logan Region,Cleveland,4163.0,"Meadowbrook, Alexandra Hills, Springwood",21/09/2017,Redland (C),Brisbane And Redlands,Oodgeroo,500000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Tablelands Regional Council,Atherton,4883.0,," Natural Evolution Pty Ltd 
 Farmer Meets Foodie 
 James Cook University (JCU) 
 AusIndustry 
 iiHub Ltd 
 Rural And Remote Innovation Australia (RRIA) Inc 
 Telstra Corporation Limited 
 YEP Entrepreneurship Facilitators Cairns",Tablelands Innovation Program,Atherton,4883.0,,11/11/2020,Tablelands (R),Far North Queensland,Hill,45000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Sunshine Coast Regional Council,Maroochydore,4558.0,," Noosa Shire Council 
 University of the Sunshine Coast 
 Central Queensland University - Noosa Campus Master 
 Regional Development Australia Sunshine Coast Incorporated 
 Suncentral Maroochydore Pty Ltd 
 The Old Ambulance Station (Sunshine Coast Arts Industry Precinct Inc.) 
 Innovate Noosa Inc. 
 BDO Australia Limited 
 Suncare Community Services Ltd 
 Stockland Corporation Ltd 
 Australia And New Zealand Banking Group Limited t/a ANZ 
 Telstra Corporation Limited 
 Innovation Centre Sunshine Coast Pty Ltd",Sunshine Coast Regional Innovation Program #Script,Maroochydore,4558.0,"Sippy Downs, Nambour, Tewantin",2/06/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,500000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Smart Precinct Nq Limited,Townsville City,4810.0,,nan,"North Queensland Investment, Innovation & Industry Catalyst",Townsville City,4810.0,,2/07/2020,Townsville (C),Townsville,Townsville,500000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Wide Bay Burnett Regional Organisation Of Councils Inc.,Gympie,4570.0,," University of the Sunshine Coast 
 The Generator Bundaberg Pty Ltd 
 Mt Rawdon Operations Pty Ltd 
 Red Earth Community Foundation South Burnett Limited 
 Berwin Ltd",Develop A Collaborative Action Plan And Advise On The Submission Of A Subsequent Full Application For The Wide Bay Burnett Region ((Linked To Aqaripfull00216-17),Gympie,4570.0,,19/01/2017,Gympie (R),Wide Bay,Gympie,20000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Wide Bay Burnett Regional Organisation Of Councils Inc.,Gympie,4570.0,," University of the Sunshine Coast 
 Fraser Coast Regional Council 
 Bundaberg Regional Council 
 The Generator Bundaberg Pty Ltd 
 Community Lifestyle Support Ltd 
 Gympie Regional Council 
 Gympie Chamber Of Commerce Inc 
 Ag & Industry Pty Ltd trading as Kandanga Farm Store 
 Gympie & District Home For The Aged Inc trading as Cooinda Aged Care Centre 
 Mary Valley Chamber of Commerce Inc. 
 South Burnett Regional Council 
 Kingaroy Chamber Of Commerce & Industry Inc 
 P.J Howlett & R.J Howlett 
 BGA Agriservices Ltd 
 Peanut Company Of Australia Limited 
 Burnett Water Services 
 North Burnett Regional Council 
 Burnett Inland Economic Development Organisation Inc 
 University Of Southern Queensland 
 AGL Energy Limited 
 Berwin Ltd 
 Central Queensland University - Bundaberg Campus - Master 
 Bundaberg Enterprise Centre Association Inc",Delivering Innovation In The Wide Bay Burnett Region (Linked To Aqaripstaged00116-17),Gympie,4570.0,"Gayndah, Kingaroy",17/07/2017,Gympie (R),Wide Bay,Gympie,478330.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740.0,," Central Queensland University - Rockhampton Campus - Master 
 Mackay Regional Council 
 Resource Industry Network Co-op Ltd 
 Regional Development Australia Mackay-Isaac -Whitsunday Inc. 
 Startup Mackay Inc 
 Split Spaces Ltd",Develop A Collaborative Action And Advise On The Submission Of A Subsequent Full Application For The Mackay-Isaac-Whitsunday Region (Linked To Aqaripfull00316-17),Mackay,4740.0,,24/02/2017,Mackay (R),Mackay-Whitsunday,Mackay,20000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Toowoomba And Surat Basin Enterprise Pty Ltd,Toowoomba,4350.0,," Toowoomba Regional Council 
 Maranoa Regional Council 
 Balonne Shire Council 
 Regional Development Australia Darling Downs and South West Inc 
 University Of Southern Queensland 
 Western Downs Regional Council 
 Darling Downs Hospital and Health Service",Regional 400M,Toowoomba City,4350.0,"St George, Dalby, Goondiwindi",5/09/2017,Toowoomba (R),Darling Downs,Toowoomba North,500000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Moreton Bay Region Industry And Tourism Limited,Kippa-Ring,4021.0,," University of the Sunshine Coast 
 Samford Commons Ltd 
 Grace Lutheran College 
 SRJ Walker Wayland Pty Ltd 
 SBIM 
 The Hills & Districts Chamber of Commerce 
 Regional Development Australia Moreton Bay Inc 
 Coastal Protection Core 
 Streten Masons Lawyers",Moreton Bay Region Sustainable Innovation Partnership Program,Kippa-Ring,4021.0,"Samford Valley, Narangba",20/08/2017,Moreton Bay (R),Moreton Bay,Redcliffe,499980.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Gold Coast Innovation Hub Limited,Varsity Lakes,4227.0,," Opmantek Software Pty Ltd 
 Mclaughlins Lawyers Pty Ltd 
 Scale Innovations Pty Ltd 
 42 Innovations Pty Ltd 
 IT Forum Gold Coast Inc 
 Gold Coast City Council 
 Prime Financial 
 Sports Gold Coast Limited 
 Gold Coast Techspace Inc 
 TAFE Queensland",Gold Coast Hub,Varsity Lakes,4227.0,"Coomera, Tweed Heads",27/07/2017,Gold Coast (C),Gold Coast,Mermaid Beach,500000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740.0,," Central Queensland University - Mackay Campus 
 Mackay Regional Council 
 Resource Industry Network 
 Mackay Innovation Centre 
 Whitsunday Regional Council 
 Isaac Regional Council 
 Regional Development Australia Mackay-Isaac -Whitsunday Inc. 
 Startup Mackay Inc 
 Split Spaces Ltd",Growing The Innovation Ecosystem In The Greater Whitsunday Region (Linked To Aqaripstaged00216-17),Mackay,4740.0,"Bowen, Moranbah",11/08/2017,Mackay (R),Mackay-Whitsunday,Mackay,480000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Ghd Pty Ltd,Townsville,4810.0,," Townsville City Council 
 Palm Island Aboriginal Shire Council 
 Charters Towers Regional Council 
 Townsville Chamber of Commerce 
 Burdekin Shire Council",I-Tap North Queensland,Townsville City,4810.0,"Charters Towers, Ayr, Ingham",26/09/2017,Townsville (C),Townsville,Townsville,74000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Health Management Pty Ltd,Cairns North,4870.0,," The Space Australasia Pty Ltd 
 Didgigo Marketing Pty Ltd 
 Amazon Web Services Australia Pty Ltd 
 James Cook University - Cairns Campus - Master 
 MacDonnells Law Pty Ltd 
 Central Queensland University - Cairns Campus - Master 
 Department of Industry, Science, Energy and Resources 
 Art Work Space Pty Ltd 
 PieLAB Capital Pty Ltd 
 FNQ Angels Inc 
 Cairns Regional Council 
 Cairns Chamber of Commerce Inc",Launch Fnq Innovation Ecosystem Activation And Education Project,Cairns North,4870.0,,11/11/2020,Cairns (R),Far North Queensland,Cairns,230000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Ignite Far North Queensland Limited,Manunda,4870.0,," The Space Australasia Pty Ltd 
 Northern Gulf Resource Management Group Ltd 
 Tablelands Regional Council 
 enVizion Group Inc 
 James Cook University - Cairns Campus - Master",Advancing Regional Innovation In Fnq Through The Ignitefnq Collaborative Action Plan (Linked To Aqaripstaged00316-17),Cairns City,4870.0,"Wujal Wujal, Mareeba, Mossman, Bamaga, Thursday Island, Cooktown, Weipa",26/06/2017,Cairns (R),Far North Queensland,Cairns,315000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Central Highlands Development Corporation Limited,Emerald,4720.0,," Central Highlands Regional Council 
 BHP Billiton Limited 
 C-Res (Qld) Pty Ltd 
 Rural Business Collective Pty Ltd 
 Central Queensland University (CQUniversity Australia)",Building And Bridging The RegionS New Economy,Emerald,4720.0,"Theodore, Tieri",28/08/2017,Central Highlands (R),Central Queensland,Gregory,500000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Ipswich City Council,Ipswich,4305.0,," Future Anything Pty Ltd 
 Ipswich Region Chamber of Commerce & Industry 
 Motor Trades Association of QLD Industrial Organisation Of Employers 
 Startup Toowoomba Pty Ltd 
 Upower Leadership Program Pty Ltd 
 Greater Springfield Chamber of Commerce 
 TAFE Queensland - Bundamba 
 Brisbane Broncos Ltd 
 Springfield City Group Pty Limited 
 University Of Southern Queensland - Springfield Campus - Master 
 Workrestart Pty Ltd 
 STEM Punks Ventures Pty Ltd 
 Telstra Corporation Limited 
 Ambition Group Limited 
 Firestation 101 (Ipswich City Enterprises Pty Ltd)",Creating A Foundation Of Entrepreneurial Talent And Culture In Ipswich & West Moreton,Ipswich,4305.0,"Gatton, Harrisville",29/06/2017,Ipswich (C),Ipswich,Ipswich,432125.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Innovation Nq Inc.,Townsville,4810.0,," James Cook University - Townsville Campus - Master 
 JESI Management Solutions Pty Ltd - Townsville 
 Honeycombes Developments Pty Ltd 
 The Philip Leong Youth Program 
 Sister City Partners Limited 
 Dec-Mech Pty Ltd",Inq Innovation Ecosystem Development,Townsville City,4810.0,"Charters Towers, Ingham & Ayr",26/09/2017,Townsville (C),Townsville,Townsville,150000.0
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Central Western Queensland Remote Area Planning And Development Board,Longreach,4730.0,," James Cook University - Townsville Campus - Master 
 Central Queensland University - Rockhampton Campus - Master 
 South West Regional Economic Development Association 
 Mckinlay Shire Council 
 Local Government Association of Queensland 
 The Outback Queensland Tourism Association Inc 
 University of Southern Queensland (Institute of Resilient Regions) 
 Education Queensland 
 Queensland University Of Technology 
 Price Waterhouse Coopers 
 Telstra Corporation Limited 
 GWI Pty Ltd",Outback Queensland Collaborative Innovation Project,Longreach,4730.0,"Cunnamulla, Julia Creek",13/06/2017,Longreach (R),Outback Queensland,Gregory,487248.0
