Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
Aboriginal And Torres Strait Islander Phd Scholarships,Aq Aboriginal & Torres Strait Islander Phd Scholarships 2018-19 Round 4,Central Queensland University,Norman Gardens,4701.0,Nan,Bhp Billiton,Decolonising The Systematic Barriers And Enablers Of Indigenous Career Progression In Miningco (Bhp). An Aboriginal Perspective - Terry Bell,Brisbane City,4001.0,Nan,2019-06-14,Rockhampton (R),Brisbane And Redlands,Keppel,107084.0
Aboriginal And Torres Strait Islander Phd Scholarships,Aq Aboriginal & Torres Strait Islander Phd Scholarships 2015-16 Round 1,Griffith University,Nathan,4111.0,Nan,Nan,An Indigenous Journey Through The 21St Century Educational Landscapes Of New Metrics - Troy Meston,Nathan,4111.0,Nan,2016-01-28,Brisbane (C),Brisbane And Redlands,Toohey,117500.0
Aboriginal And Torres Strait Islander Research Fellowships,Aq Aboriginal & Torres Strait Islander Research Fellowships 2017-18 Round 3,Queensland University Of Technology,Brisbane City,4000.0,Nan,Engineered Wood Products Association Australasia Ltd,An Innovative Framing System For Taller Timber-Framed Buildings  Craig Cowled,Brisbane City,4000.0,Nan,2018-08-21,Brisbane (C),Brisbane And Redlands,Mcconnel,240000.0
Aboriginal And Torres Strait Islander Research Fellowships,Aq Aboriginal & Torres Strait Islander Research Fellowships 2015-16 Round 1,Csiro,Smithfield,4878.0,Nan,Csiro,Transforming Hidden Data: An Integrative Information System For Torres Strait - Cass Hunter,Smithfield,4878.0,Nan,2016-01-28,Cairns (R),Far North Queensland,Barron River,158032.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Redland City Council,Cleveland,4163.0,Nan,Community Information Support Services Ltd  Logan City Council  Redland City Chamber Of Commerce Inc  Global Community Resourcing Pty Ltd  Social Enterprise Network Logan Limited  Tafe Queensland Brisbane  Griffith University - Logan Campus - Master  Yfs Ltd,Growing Innovation In The Redlands And Logan Region,Cleveland,4163.0,"Meadowbrook, Alexandra Hills, Springwood",2017-09-21,Redland (C),Brisbane And Redlands,Oodgeroo,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2020-21,Tablelands Regional Council,Atherton,4883.0,Nan,Natural Evolution Pty Ltd  Farmer Meets Foodie  James Cook University (Jcu)  Ausindustry  Iihub Ltd  Rural And Remote Innovation Australia (Rria) Inc  Telstra Corporation Limited  Yep Entrepreneurship Facilitators Cairns,Tablelands Innovation Program,Atherton,4883.0,Nan,2020-11-11,Tablelands (R),Far North Queensland,Hill,45000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Sunshine Coast Regional Council,Maroochydore,4558.0,Nan,Noosa Shire Council  University Of The Sunshine Coast  Central Queensland University - Noosa Campus Master  Regional Development Australia Sunshine Coast Incorporated  Suncentral Maroochydore Pty Ltd  The Old Ambulance Station (Sunshine Coast Arts Industry Precinct Inc.)  Innovate Noosa Inc.  Bdo Australia Limited  Suncare Community Services Ltd  Stockland Corporation Ltd  Australia And New Zealand Banking Group Limited T/A Anz  Telstra Corporation Limited  Innovation Centre Sunshine Coast Pty Ltd,Sunshine Coast Regional Innovation Program #Script,Maroochydore,4558.0,"Sippy Downs, Nambour, Tewantin",2017-06-02,Sunshine Coast (R),Sunshine Coast,Maroochydore,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2020-21,Smart Precinct Nq Limited,Townsville City,4810.0,Nan,Nan,"North Queensland Investment, Innovation & Industry Catalyst",Townsville City,4810.0,Nan,2020-07-02,Townsville (C),Townsville,Townsville,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Staged 2016-17,Wide Bay Burnett Regional Organisation Of Councils Inc.,Gympie,4570.0,Nan,University Of The Sunshine Coast  The Generator Bundaberg Pty Ltd  Mt Rawdon Operations Pty Ltd  Red Earth Community Foundation South Burnett Limited  Berwin Ltd,Develop A Collaborative Action Plan And Advise On The Submission Of A Subsequent Full Application For The Wide Bay Burnett Region ((Linked To Aqaripfull00216-17),Gympie,4570.0,Nan,2017-01-19,Gympie (R),Wide Bay,Gympie,20000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Wide Bay Burnett Regional Organisation Of Councils Inc.,Gympie,4570.0,Nan,University Of The Sunshine Coast  Fraser Coast Regional Council  Bundaberg Regional Council  The Generator Bundaberg Pty Ltd  Community Lifestyle Support Ltd  Gympie Regional Council  Gympie Chamber Of Commerce Inc  Ag & Industry Pty Ltd Trading As Kandanga Farm Store  Gympie & District Home For The Aged Inc Trading As Cooinda Aged Care Centre  Mary Valley Chamber Of Commerce Inc.  South Burnett Regional Council  Kingaroy Chamber Of Commerce & Industry Inc  P.J Howlett & R.J Howlett  Bga Agriservices Ltd  Peanut Company Of Australia Limited  Burnett Water Services  North Burnett Regional Council  Burnett Inland Economic Development Organisation Inc  University Of Southern Queensland  Agl Energy Limited  Berwin Ltd  Central Queensland University - Bundaberg Campus - Master  Bundaberg Enterprise Centre Association Inc,Delivering Innovation In The Wide Bay Burnett Region (Linked To Aqaripstaged00116-17),Gympie,4570.0,"Gayndah, Kingaroy",2017-07-17,Gympie (R),Wide Bay,Gympie,478330.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Staged 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740.0,Nan,Central Queensland University - Rockhampton Campus - Master  Mackay Regional Council  Resource Industry Network Co-Op Ltd  Regional Development Australia Mackay-Isaac -Whitsunday Inc.  Startup Mackay Inc  Split Spaces Ltd,Develop A Collaborative Action And Advise On The Submission Of A Subsequent Full Application For The Mackay-Isaac-Whitsunday Region (Linked To Aqaripfull00316-17),Mackay,4740.0,Nan,2017-02-24,Mackay (R),Mackay-Whitsunday,Mackay,20000.0
